node_id,node_coordinate_x,node_coordinate_y,boundary_flag
1,0,0,30
2,0.025,0,1
3,0,0.025,4
4,0.025,0.025,0
5,0,0.05,4
6,0.025,0.05,0
7,0,0.075,4
8,0.025,0.075,0
9,0,0.1,4
10,0.025,0.1,0
11,0,0.125,4
12,0.025,0.125,0
13,0,0.15,4
14,0.025,0.15,0
15,0,0.175,4
16,0.025,0.175,0
17,0,0.2,4
18,0.025,0.2,0
19,0,0.225,4
20,0.025,0.225,0
21,0,0.25,4
22,0.025,0.25,0
23,0,0.275,4
24,0.025,0.275,0
25,0,0.3,4
26,0.025,0.3,0
27,0,0.325,4
28,0.025,0.325,0
29,0,0.35,4
30,0.025,0.35,0
31,0,0.375,4
32,0.025,0.375,0
33,0,0.4,4
34,0.025,0.4,0
35,0,0.425,4
36,0.025,0.425,0
37,0,0.45,4
38,0.025,0.45,0
39,0,0.475,4
40,0.025,0.475,0
41,0,0.5,4
42,0.025,0.5,0
43,0,0.525,4
44,0.025,0.525,0
45,0,0.55,4
46,0.025,0.55,0
47,0,0.575,4
48,0.025,0.575,0
49,0,0.6,4
50,0.025,0.6,0
51,0,0.625,4
52,0.025,0.625,0
53,0,0.65,4
54,0.025,0.65,0
55,0,0.675,4
56,0.025,0.675,0
57,0,0.7,4
58,0.025,0.7,0
59,0,0.725,4
60,0.025,0.725,0
61,0,0.75,4
62,0.025,0.75,0
63,0,0.775,4
64,0.025,0.775,0
65,0,0.8,4
66,0.025,0.8,0
67,0,0.825,4
68,0.025,0.825,0
69,0,0.850000000000001,4
70,0.025,0.850000000000001,0
71,0,0.875,4
72,0.025,0.875,0
73,0,0.900000000000001,4
74,0.025,0.900000000000001,0
75,0,0.925,4
76,0.025,0.925,0
77,0,0.950000000000001,4
78,0.025,0.950000000000001,0
79,0,0.975000000000001,4
80,0.025,0.975000000000001,0
81,0,1,27
82,0.025,1,3
83,0.05,0,1
84,0.05,0.025,0
85,0.05,0.05,0
86,0.05,0.075,0
87,0.05,0.1,0
88,0.05,0.125,0
89,0.05,0.15,0
90,0.05,0.175,0
91,0.05,0.2,0
92,0.05,0.225,0
93,0.05,0.25,0
94,0.05,0.275,0
95,0.05,0.3,0
96,0.05,0.325,0
97,0.05,0.35,0
98,0.05,0.375,0
99,0.05,0.4,0
100,0.05,0.425,0
101,0.05,0.45,0
102,0.05,0.475,0
103,0.05,0.5,0
104,0.05,0.525,0
105,0.05,0.55,0
106,0.05,0.575,0
107,0.05,0.6,0
108,0.05,0.625,0
109,0.05,0.65,0
110,0.05,0.675,0
111,0.05,0.7,0
112,0.05,0.725,0
113,0.05,0.75,0
114,0.05,0.775,0
115,0.05,0.8,0
116,0.05,0.825,0
117,0.05,0.850000000000001,0
118,0.05,0.875,0
119,0.05,0.900000000000001,0
120,0.05,0.925,0
121,0.05,0.950000000000001,0
122,0.05,0.975000000000001,0
123,0.05,1,3
124,0.075,0,1
125,0.075,0.025,0
126,0.075,0.05,0
