ElementID,GlobalId_1,GlobalId_2,GlobalId_3,GlobalId_4,boundary_flag
1,1,2,3,4,30
2,3,4,5,6,4
3,5,6,7,8,4
4,7,8,9,10,4
5,9,10,11,12,27
6,2,13,4,14,1
7,4,14,6,15,0
8,6,15,8,16,0
9,8,16,10,17,0
10,10,17,12,18,3
11,13,19,14,20,1
12,14,20,15,21,0
13,15,21,16,22,0
14,16,22,17,23,0
15,17,23,18,24,3
16,19,25,20,26,1
17,20,26,21,27,0
18,21,27,22,28,0
19,22,28,23,29,0
20,23,29,24,30,3
21,25,31,26,32,29
22,26,32,27,33,2
23,27,33,28,34,2
24,28,34,29,35,2
25,29,35,30,36,28
