ElementID,GlobalId_1,GlobalId_2,GlobalId_3,GlobalId_4,boundary_flag
1,1,2,3,4,30
2,3,4,5,6,4
3,5,6,7,8,4
4,7,8,9,10,4
5,9,10,11,12,4
6,11,12,13,14,4
7,13,14,15,16,4
8,15,16,17,18,4
9,17,18,19,20,4
10,19,20,21,22,27
11,2,23,4,24,1
12,4,24,6,25,0
13,6,25,8,26,0
14,8,26,10,27,0
15,10,27,12,28,0
16,12,28,14,29,0
17,14,29,16,30,0
18,16,30,18,31,0
19,18,31,20,32,0
20,20,32,22,33,3
21,23,34,24,35,1
22,24,35,25,36,0
23,25,36,26,37,0
24,26,37,27,38,0
25,27,38,28,39,0
26,28,39,29,40,0
27,29,40,30,41,0
28,30,41,31,42,0
29,31,42,32,43,0
30,32,43,33,44,3
31,34,45,35,46,1
32,35,46,36,47,0
33,36,47,37,48,0
34,37,48,38,49,0
35,38,49,39,50,0
36,39,50,40,51,0
37,40,51,41,52,0
38,41,52,42,53,0
39,42,53,43,54,0
40,43,54,44,55,3
41,45,56,46,57,1
42,46,57,47,58,0
43,47,58,48,59,0
44,48,59,49,60,0
45,49,60,50,61,0
46,50,61,51,62,0
47,51,62,52,63,0
48,52,63,53,64,0
49,53,64,54,65,0
50,54,65,55,66,3
51,56,67,57,68,1
52,57,68,58,69,0
53,58,69,59,70,0
54,59,70,60,71,0
55,60,71,61,72,0
56,61,72,62,73,0
57,62,73,63,74,0
58,63,74,64,75,0
59,64,75,65,76,0
60,65,76,66,77,3
61,67,78,68,79,1
62,68,79,69,80,0
63,69,80,70,81,0
64,70,81,71,82,0
65,71,82,72,83,0
66,72,83,73,84,0
67,73,84,74,85,0
68,74,85,75,86,0
69,75,86,76,87,0
70,76,87,77,88,3
71,78,89,79,90,1
72,79,90,80,91,0
73,80,91,81,92,0
74,81,92,82,93,0
75,82,93,83,94,0
76,83,94,84,95,0
77,84,95,85,96,0
78,85,96,86,97,0
79,86,97,87,98,0
80,87,98,88,99,3
81,89,100,90,101,1
82,90,101,91,102,0
83,91,102,92,103,0
84,92,103,93,104,0
85,93,104,94,105,0
86,94,105,95,106,0
87,95,106,96,107,0
88,96,107,97,108,0
89,97,108,98,109,0
90,98,109,99,110,3
91,100,111,101,112,29
92,101,112,102,113,2
93,102,113,103,114,2
94,103,114,104,115,2
95,104,115,105,116,2
96,105,116,106,117,2
97,106,117,107,118,2
98,107,118,108,119,2
99,108,119,109,120,2
100,109,120,110,121,28
