node_id,node_coordinate_x,node_coordinate_y,boundary
1,0,0,1
2,8.33333333333333,0,1
3,0,8.33333333333333,1
4,8.33333333333333,8.33333333333333,0
5,0,16.6666666666667,1
6,8.33333333333333,16.6666666666667,0
7,0,25,1
8,8.33333333333333,25,0
9,0,33.3333333333333,1
10,8.33333333333333,33.3333333333333,0
11,0,41.6666666666667,1
12,8.33333333333333,41.6666666666667,0
13,0,50,1
14,8.33333333333333,50,0
15,0,58.3333333333333,1
16,8.33333333333333,58.3333333333333,0
17,0,66.6666666666667,1
18,8.33333333333333,66.6666666666667,0
19,0,75,1
20,8.33333333333333,75,0
21,0,83.3333333333333,1
22,8.33333333333333,83.3333333333333,0
23,0,91.6666666666666,1
24,8.33333333333333,91.6666666666666,0
25,0,100,1
26,8.33333333333333,100,1
27,16.6666666666667,0,1
28,16.6666666666667,8.33333333333333,0
29,16.6666666666667,16.6666666666667,0
30,16.6666666666667,25,0
31,16.6666666666667,33.3333333333333,0
32,16.6666666666667,41.6666666666667,0
33,16.6666666666667,50,0
34,16.6666666666667,58.3333333333333,0
35,16.6666666666667,66.6666666666667,0
36,16.6666666666667,75,0
37,16.6666666666667,83.3333333333333,0
38,16.6666666666667,91.6666666666666,0
39,16.6666666666667,100,1
40,25,0,1
41,25,8.33333333333333,0
42,25,16.6666666666667,0
43,25,25,0
44,25,33.3333333333333,0
45,25,41.6666666666667,0
46,25,50,0
47,25,58.3333333333333,0
48,25,66.6666666666667,0
49,25,75,0
50,25,83.3333333333333,0
51,25,91.6666666666666,0
52,25,100,1
53,33.3333333333333,0,1
54,33.3333333333333,8.33333333333333,0
55,33.3333333333333,16.6666666666667,0
56,33.3333333333333,25,0
57,33.3333333333333,33.3333333333333,0
58,33.3333333333333,41.6666666666667,0
59,33.3333333333333,50,0
60,33.3333333333333,58.3333333333333,0
61,33.3333333333333,66.6666666666667,0
62,33.3333333333333,75,0
63,33.3333333333333,83.3333333333333,0
64,33.3333333333333,91.6666666666666,0
65,33.3333333333333,100,1
66,41.6666666666667,0,1
67,41.6666666666667,8.33333333333333,0
68,41.6666666666667,16.6666666666667,0
69,41.6666666666667,25,0
70,41.6666666666667,33.3333333333333,0
71,41.6666666666667,41.6666666666667,0
72,41.6666666666667,50,0
73,41.6666666666667,58.3333333333333,0
74,41.6666666666667,66.6666666666667,0
75,41.6666666666667,75,0
76,41.6666666666667,83.3333333333333,0
77,41.6666666666667,91.6666666666666,0
78,41.6666666666667,100,1
79,50,0,1
80,50,8.33333333333333,0
81,50,16.6666666666667,0
82,50,25,0
83,50,33.3333333333333,0
84,50,41.6666666666667,0
85,50,50,0
86,50,58.3333333333333,0
87,50,66.6666666666667,0
88,50,75,0
89,50,83.3333333333333,0
90,50,91.6666666666666,0
91,50,100,1
92,58.3333333333333,0,1
93,58.3333333333333,8.33333333333333,0
94,58.3333333333333,16.6666666666667,0
95,58.3333333333333,25,0
96,58.3333333333333,33.3333333333333,0
97,58.3333333333333,41.6666666666667,0
98,58.3333333333333,50,0
99,58.3333333333333,58.3333333333333,0
100,58.3333333333333,66.6666666666667,0
101,58.3333333333333,75,0
102,58.3333333333333,83.3333333333333,0
103,58.3333333333333,91.6666666666666,0
104,58.3333333333333,100,1
105,66.6666666666667,0,1
106,66.6666666666667,8.33333333333333,0
107,66.6666666666667,16.6666666666667,0
108,66.6666666666667,25,0
109,66.6666666666667,33.3333333333333,0
110,66.6666666666667,41.6666666666667,0
111,66.6666666666667,50,0
112,66.6666666666667,58.3333333333333,0
113,66.6666666666667,66.6666666666667,0
114,66.6666666666667,75,0
115,66.6666666666667,83.3333333333333,0
116,66.6666666666667,91.6666666666666,0
117,66.6666666666667,100,1
118,75,0,1
119,75,8.33333333333333,0
120,75,16.6666666666667,0
121,75,25,0
122,75,33.3333333333333,0
123,75,41.6666666666667,0
124,75,50,0
125,75,58.3333333333333,0
126,75,66.6666666666667,0
127,75,75,0
128,75,83.3333333333333,0
129,75,91.6666666666666,0
130,75,100,1
131,83.3333333333333,0,1
132,83.3333333333333,8.33333333333333,0
133,83.3333333333333,16.6666666666667,0
134,83.3333333333333,25,0
135,83.3333333333333,33.3333333333333,0
136,83.3333333333333,41.6666666666667,0
137,83.3333333333333,50,0
138,83.3333333333333,58.3333333333333,0
139,83.3333333333333,66.6666666666667,0
140,83.3333333333333,75,0
141,83.3333333333333,83.3333333333333,0
142,83.3333333333333,91.6666666666666,0
143,83.3333333333333,100,1
144,91.6666666666666,0,1
145,91.6666666666666,8.33333333333333,0
146,91.6666666666666,16.6666666666667,0
147,91.6666666666666,25,0
148,91.6666666666666,33.3333333333333,0
149,91.6666666666666,41.6666666666667,0
150,91.6666666666666,50,0
151,91.6666666666666,58.3333333333333,0
152,91.6666666666666,66.6666666666667,0
153,91.6666666666666,75,0
154,91.6666666666666,83.3333333333333,0
155,91.6666666666666,91.6666666666666,0
156,91.6666666666666,100,1
157,100,0,1
158,100,8.33333333333333,1
159,100,16.6666666666667,1
160,100,25,1
161,100,33.3333333333333,1
162,100,41.6666666666667,1
163,100,50,1
164,100,58.3333333333333,1
165,100,66.6666666666667,1
166,100,75,1
167,100,83.3333333333333,1
168,100,91.6666666666666,1
169,100,100,1
